age,studytime,failures
18,2,0
17,2,0
15,3,0
16,2,0
16,2,0
16,2,0
17,2,0
15,2,0
15,2,0
15,2,0
15,3,0
15,1,0
15,2,0
15,3,0
16,1,0
16,3,0
16,2,0
16,1,0
15,2,0
15,1,0
16,2,0
16,2,0
15,3,0
15,1,0
15,1,0
16,2,0
16,2,0
15,2,0
15,2,0
15,2,0
15,2,0
16,1,0
15,1,0
15,3,0
16,3,0
15,3,0
15,1,0
15,1,0
15,2,0
15,1,0
15,2,0
16,2,0
16,4,0
15,2,0
16,2,0
15,2,0
15,1,0
15,1,0
16,2,0
15,2,0
15,2,0
15,2,0
16,2,0
16,2,0
16,1,0
16,2,0
16,3,0
15,2,0
16,2,0
15,4,0
16,4,0
15,2,0
15,4,0
16,4,0
15,4,0
16,1,0
16,2,0
15,2,0
15,4,0
16,4,0
16,2,0
15,1,0
15,3,0
15,2,0
15,2,0
15,2,0
16,2,0
15,3,0
16,2,0
16,3,0
15,1,0
16,2,0
16,2,0
15,4,0
16,1,0
16,2,0
16,1,0
16,3,0
16,1,0
16,3,0
15,1,0
15,2,0
15,2,0
15,4,0
15,4,0
16,3,0
15,4,0
16,3,0
15,1,0
15,1,0
15,2,0
16,2,0
15,2,0
16,1,0
15,1,0
15,2,0
15,4,0
16,2,0
16,1,0
16,2,0
15,1,0
15,2,0
16,1,0
15,1,0
17,1,0
16,1,0
15,2,0
15,3,0
17,2,0
15,1,0
15,4,0
15,3,0
16,1,0
15,2,0
15,2,0
16,1,0
17,1,0
15,2,0
17,1,0
16,1,0
17,1,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
17,2,0
16,2,0
17,2,0
16,2,0
17,2,0
16,1,0
17,2,0
16,2,0
16,2,0
17,2,0
17,2,0
16,2,0
17,2,0
16,1,0
16,2,0
17,2,0
17,2,0
16,2,0
17,2,0
17,2,0
16,1,0
16,1,0
17,2,0
17,1,0
16,1,0
16,2,0
16,2,0
16,2,0
17,2,0
17,1,0
16,4,0
16,2,0
16,1,0
17,3,0
19,4,0
17,2,0
16,2,0
17,1,0
17,2,0
17,1,0
17,3,0
17,2,0
16,2,0
18,2,0
16,3,0
17,2,0
17,2,0
18,2,0
17,3,0
17,2,0
17,2,0
17,2,0
16,2,0
16,2,0
16,3,0
17,2,0
16,1,0
17,2,0
17,2,0
17,2,0
16,1,0
16,1,0
18,3,0
16,1,0
17,1,0
16,1,0
16,2,0
16,1,0
17,1,0
17,4,0
19,2,0
18,2,0
17,4,0
18,2,0
18,2,0
18,3,0
17,3,0
18,3,0
18,2,0
17,2,0
18,2,0
18,2,0
18,2,0
18,4,0
18,2,0
17,2,0
17,2,0
17,2,0
18,2,0
18,1,0
18,1,0
17,1,0
18,4,0
18,2,0
17,2,0
17,2,0
18,3,0
17,3,0
18,3,0
18,2,0
18,2,0
17,3,0
17,4,0
18,3,0
17,1,0
19,2,0
18,2,0
18,4,0
18,1,0
18,2,0
17,1,0
17,3,0
17,4,0
20,1,0
19,2,0
18,2,0
18,3,0
17,3,0
18,2,0
17,2,0
17,2,0
17,3,0
17,3,0
17,3,0
18,3,0
17,1,0
17,1,0
17,3,0
17,3,0
18,4,0
17,3,0
18,2,0
18,2,0
18,4,0
17,3,0
17,2,0
18,4,0
17,2,0
18,2,0
18,3,0
18,3,0
18,3,0
18,3,0
17,3,0
17,2,0
17,2,0
18,2,0
17,2,0
17,2,0
18,1,0
18,3,0
18,2,0
18,2,0
17,2,0
17,2,0
18,2,0
18,3,0
18,1,0
18,2,0
18,1,0
17,3,0
17,1,0
18,3,0
18,3,0
18,2,0
18,2,0
17,2,0
18,2,0
18,1,0
17,2,0
18,3,0
18,1,0
18,2,0
17,1,0
18,1,0
19,1,0
16,2,1
16,2,1
15,2,1
15,1,1
16,2,1
15,4,1
16,3,1
16,2,1
17,2,1
16,2,1
16,1,1
16,2,1
16,1,1
16,1,1
17,1,1
17,3,1
18,2,1
18,2,1
17,3,1
18,2,1
18,2,1
18,2,1
18,1,1
18,1,1
17,1,1
18,2,1
17,1,1
18,2,1
19,2,1
18,2,1
19,1,1
19,2,1
19,2,1
19,2,1
19,2,1
19,2,1
19,3,1
19,3,1
19,3,1
18,2,1
17,2,1
18,1,1
18,1,1
19,1,1
18,2,1
17,1,1
19,1,1
18,1,1
19,3,1
18,2,1
16,1,2
15,2,2
15,2,2
18,1,2
15,3,2
16,1,2
16,1,2
15,3,2
17,1,2
15,2,2
16,1,2
17,2,2
19,2,2
19,3,2
19,2,2
20,3,2
20,2,2
15,2,3
17,1,3
17,1,3
19,2,3
17,1,3
15,2,3
15,1,3
18,1,3
19,1,3
18,1,3
17,2,3
16,2,3
16,2,3
22,1,3
19,2,3
21,1,3
