school,sex,age,absences
GP,F,18,75
GP,F,17,56
GP,F,16,54
GP,F,19,40
GP,M,19,38
GP,M,17,30
GP,F,17,28
GP,F,15,26
GP,F,16,25
GP,F,17,24
GP,F,17,23
GP,M,18,22
GP,F,19,22
GP,F,17,22
GP,F,18,21
GP,M,17,20
GP,M,19,20
GP,F,19,20
GP,F,16,20
GP,M,17,19
GP,F,19,18
GP,F,17,18
GP,M,16,18
GP,M,16,18
GP,M,16,18
MS,F,17,17
GP,M,22,16
GP,M,16,16
GP,M,17,16
GP,F,18,16
GP,F,16,16
GP,F,17,16
GP,M,16,16
GP,M,18,15
GP,F,19,15
GP,F,18,15
GP,M,17,14
GP,F,16,14
GP,F,16,14
GP,M,18,14
GP,F,17,14
GP,F,19,14
GP,M,17,14
GP,F,16,14
GP,M,16,14
MS,F,17,14
GP,F,18,14
MS,M,18,14
GP,M,17,13
GP,M,18,13
GP,M,18,13
GP,F,17,12
GP,M,19,12
GP,F,15,12
GP,F,18,12
GP,M,16,12
GP,M,17,12
GP,M,17,12
GP,F,17,12
GP,F,17,12
GP,F,19,12
GP,F,16,12
GP,F,16,12
GP,M,18,11
GP,M,18,11
MS,M,20,11
GP,F,16,10
GP,F,19,10
GP,F,15,10
GP,F,17,10
GP,F,17,10
GP,F,15,10
GP,M,16,10
GP,M,15,10
GP,M,18,10
GP,F,18,10
GP,M,16,10
GP,M,16,10
GP,F,15,10
GP,F,16,10
GP,M,16,10
MS,M,18,10
MS,F,18,10
GP,M,18,9
GP,F,18,9
GP,M,18,9
GP,M,15,8
GP,M,16,8
GP,M,18,8
GP,F,15,8
GP,F,15,8
GP,M,17,8
GP,F,18,8
GP,F,16,8
GP,M,15,8
GP,M,18,8
GP,M,16,8
GP,F,15,8
GP,M,17,8
GP,M,18,8
GP,M,15,8
GP,M,18,8
GP,F,15,8
MS,M,19,8
GP,F,18,8
MS,F,17,8
GP,M,16,8
GP,M,16,8
GP,F,18,7
MS,M,18,7
GP,F,17,7
GP,F,18,7
GP,F,17,7
GP,M,16,7
MS,F,18,7
GP,M,16,6
GP,F,17,6
GP,F,16,6
GP,F,18,6
GP,M,15,6
GP,F,16,6
GP,F,15,6
GP,F,16,6
GP,F,16,6
GP,F,17,6
GP,F,16,6
GP,F,17,6
GP,M,15,6
GP,F,17,6
GP,M,15,6
GP,F,17,6
GP,F,18,6
GP,M,15,6
GP,M,15,6
GP,M,15,6
GP,F,15,6
GP,F,17,6
GP,M,18,6
GP,M,15,6
GP,M,16,6
GP,M,16,6
GP,F,17,6
GP,F,16,6
GP,M,15,6
GP,F,16,6
GP,F,16,6
MS,M,18,5
GP,F,18,5
GP,M,18,5
GP,F,16,5
MS,M,19,5
GP,M,16,4
GP,F,16,4
GP,M,16,4
GP,F,16,4
GP,M,17,4
GP,M,17,4
GP,F,16,4
GP,M,17,4
GP,F,16,4
GP,M,15,4
GP,M,17,4
GP,F,17,4
GP,M,16,4
GP,F,16,4
GP,M,17,4
GP,F,17,4
GP,M,15,4
GP,F,16,4
GP,F,17,4
GP,M,15,4
GP,M,15,4
GP,M,17,4
GP,F,16,4
GP,M,17,4
GP,F,15,4
GP,M,15,4
GP,M,16,4
GP,M,17,4
GP,F,15,4
GP,F,16,4
GP,M,18,4
GP,F,17,4
GP,F,18,4
GP,M,15,4
GP,F,18,4
GP,F,17,4
GP,F,16,4
GP,M,17,4
GP,F,15,4
GP,F,17,4
GP,F,17,4
GP,F,19,4
GP,F,18,4
GP,M,16,4
MS,M,19,4
MS,M,17,4
MS,F,17,4
MS,M,18,4
MS,M,18,4
MS,F,19,4
MS,F,20,4
MS,F,18,4
MS,M,18,4
GP,M,17,3
GP,F,17,3
MS,M,18,3
GP,M,19,3
GP,F,17,3
GP,M,18,3
MS,M,17,3
MS,M,21,3
GP,M,16,2
GP,F,17,2
GP,M,17,2
GP,F,17,2
GP,F,16,2
GP,F,15,2
GP,M,15,2
GP,M,17,2
GP,M,16,2
GP,F,15,2
GP,M,16,2
GP,M,15,2
GP,M,15,2
GP,F,16,2
GP,F,17,2
GP,F,16,2
GP,M,17,2
GP,F,15,2
GP,M,16,2
GP,M,15,2
GP,M,16,2
GP,M,17,2
GP,F,15,2
GP,F,15,2
GP,M,16,2
GP,M,18,2
GP,F,16,2
GP,M,17,2
GP,F,18,2
GP,M,17,2
GP,F,17,2
GP,M,15,2
GP,M,16,2
GP,M,16,2
GP,M,17,2
GP,F,16,2
GP,M,15,2
GP,F,15,2
GP,M,16,2
GP,F,15,2
GP,M,15,2
GP,F,15,2
GP,M,15,2
GP,F,16,2
GP,F,19,2
GP,F,18,2
GP,M,15,2
GP,M,17,2
GP,M,18,2
GP,M,15,2
GP,F,16,2
MS,M,17,2
GP,F,16,2
GP,F,16,2
MS,F,17,2
MS,M,18,2
GP,F,15,2
GP,F,15,2
GP,F,16,2
MS,F,18,2
GP,F,15,2
MS,M,17,2
GP,F,15,2
MS,F,18,2
GP,M,16,2
GP,F,18,1
GP,F,17,1
GP,M,18,1
GP,M,16,0
GP,F,18,0
GP,M,15,0
GP,M,16,0
GP,M,16,0
GP,M,17,0
GP,F,15,0
GP,F,16,0
GP,F,16,0
GP,F,16,0
GP,M,15,0
GP,F,17,0
GP,M,16,0
GP,M,15,0
GP,M,18,0
GP,F,17,0
GP,F,19,0
GP,F,17,0
GP,F,18,0
GP,M,16,0
GP,F,15,0
GP,M,17,0
GP,F,17,0
GP,F,17,0
GP,M,16,0
GP,M,16,0
GP,M,20,0
GP,M,17,0
GP,M,19,0
GP,F,16,0
GP,F,19,0
GP,M,15,0
GP,F,17,0
GP,F,16,0
GP,M,15,0
GP,F,15,0
GP,F,18,0
GP,F,16,0
GP,F,17,0
GP,M,18,0
GP,M,18,0
GP,F,17,0
GP,F,17,0
GP,M,15,0
GP,F,17,0
GP,M,17,0
GP,M,16,0
GP,F,15,0
GP,F,15,0
GP,F,17,0
GP,F,16,0
GP,M,16,0
GP,F,18,0
GP,F,18,0
GP,F,18,0
GP,M,15,0
GP,M,15,0
GP,F,17,0
GP,F,15,0
GP,F,15,0
GP,M,15,0
GP,M,18,0
GP,M,17,0
GP,F,17,0
GP,F,15,0
GP,F,16,0
GP,M,16,0
GP,M,18,0
GP,F,17,0
GP,F,15,0
GP,M,15,0
GP,F,15,0
GP,F,16,0
GP,F,18,0
GP,F,16,0
MS,F,18,0
GP,M,19,0
GP,M,18,0
GP,F,16,0
MS,F,18,0
MS,F,18,0
GP,M,15,0
MS,F,18,0
MS,F,17,0
MS,F,17,0
GP,F,16,0
MS,M,18,0
MS,F,17,0
MS,F,18,0
GP,F,16,0
GP,F,18,0
GP,M,15,0
GP,M,15,0
GP,M,17,0
MS,F,18,0
GP,M,17,0
GP,M,16,0
GP,M,15,0
MS,F,18,0
GP,F,15,0
GP,M,16,0
GP,F,15,0
GP,F,16,0
MS,M,19,0
GP,M,16,0
GP,M,16,0
GP,M,16,0
MS,F,19,0
MS,F,18,0
MS,F,18,0
GP,M,15,0
GP,M,16,0
GP,M,15,0
MS,M,18,0
GP,M,18,0
